tvdbId,seriesId,seasonNumber,episodeNumber,absoluteNumber,name,writers,directors,aired,runtime,year,finaleType,overview,image,productionCode,lastUpdated,contentRatings,remoteIds
4316285,194031,2,8,21,Bad Tina,Holly Schlesinger,Jennifer Coyle,2012-05-13,22,2012,,Tina befriends a bad girl in a bid to get closer to Jimmy Junior.,https://artworks.thetvdb.com/banners/episodes/194031/4316285.jpg,2ASA10,2023-05-04 19:27:10,TV-14,IMDB:tt2386531
4316286,194031,2,9,22,Beefsquatch,Nora Smith,Wesley Archer,2012-05-20,22,2012,season,"Bob appears in a cooking segment on a local news morning program, but Gene steals the show when he crashes the set with a sasquatch mask.",https://artworks.thetvdb.com/banners/episodes/194031/4316286.jpg,2ASA09,2024-11-06 23:03:37,TV-14,IMDB:tt2394175
4345289,194031,3,1,23,Ear-sy Rider,Dan Fybel|Rich Rinaldi,Anthony Chun,2012-09-30,22,2012,,"A biker gang sets up shop in the restaurant, where they lament the loss of their beloved leader.",https://artworks.thetvdb.com/banners/episodes/194031/4345289.jpg,2ASA13,2023-05-05 19:06:27,TV-14,IMDB:tt2393284
4405132,194031,3,2,24,Full Bars,Steven Davis|Kelvin Yu,Boohwan Lim|Kyounghee Lim,2012-10-07,21,2012,,"The Belcher kids break with a long standing Halloween tradition, veering away from their usual trick or treat trek in favor of a posh neighborhood that's known for its oversize goodies.",https://artworks.thetvdb.com/banners/episodes/194031/4405132.jpg,2ASA17,2023-05-05 19:06:58,TV-14,IMDB:tt2393286
4414475,194031,3,3,25,Bob Fires the Kids,Lizzie Molyneux|Wendy Molyneux,Boohwan Lim|Kyounghee Lim,2012-11-04,22,2012,,"Worried that his kids are not enjoying summer vacation because he's making them work in the restaurant, Bob fires them. But they soon become bored and take jobs as ""weed pickers"" for a pair of hippie farmers.",https://artworks.thetvdb.com/banners/episodes/194031/4414475.jpg,2ASA12,2023-05-05 19:07:36,TV-14,IMDB:tt2483074
4429056,194031,3,4,26,Mutiny on the Windbreaker,Kit Boss,John Rice,2012-11-11,22,2012,,"Bob does a tour of duty as a private chef on a docked cruise ship and brings along the family to witness his true culinary skills, but the special occasion is scuttled when the kooky captain shanghais the whole family.",https://artworks.thetvdb.com/banners/episodes/194031/4429056.jpg,2ASA08,2023-05-05 19:08:38,TV-14,IMDB:tt2483078
4430514,194031,3,5,27,An Indecent Thanksgiving Proposal,Lizzie Molyneux|Wendy Molyneux,Tyree Dillihay,2012-11-18,22,2012,,"Bob's plans for his favorite holiday, Thanksgiving, change when Mr. Fischoeder hires him as a chef, and Linda and the kids to play his family, as he tries to stage a perfect holiday dinner in order to make a former flame jealous.",https://artworks.thetvdb.com/banners/episodes/194031/4430514.jpg,2ASA19,2023-05-05 19:10:42,TV-14,IMDB:tt2483080
4432663,194031,3,6,28,The Deepening,Greg Thompson,Bernard Derriman,2012-11-25,21,2012,,"Mr. Fischoeder's new pier attraction, a mechanical shark, goes haywire and terrorizes the town, and it falls to Bob and the family to catch it.",https://artworks.thetvdb.com/banners/episodes/194031/4432663.jpg,2ASA11,2023-05-05 19:11:04,TV-14,IMDB:tt2511944
4437664,194031,3,7,29,Tina-rannosaurus Wrecks,Jon Schroeder,Wesley Archer,2012-12-02,22,2012,,"After Tina accidentally wrecks the car, and gets the whole family involved with a slimy insurance agent, she worries that she’s a “jinx”.",https://artworks.thetvdb.com/banners/episodes/194031/4437664.jpg,2ASA14,2023-05-05 19:11:29,TV-14,IMDB:tt2524708
4442234,194031,3,8,30,The Unbearable Like-Likeness of Gene,Holly Schlesinger,Don MacKinnon,2012-12-09,22,2012,,"Gene gets his first girlfriend, but it doesn't take long for the family to realize that she is incredibly annoying and they pressure him to break up with her.",https://artworks.thetvdb.com/banners/episodes/194031/4442234.jpg,2ASA16,2023-05-05 19:12:00,TV-14,IMDB:tt2531550
